id|cognome|nome|datanasc|comunasc|sesso
4185|Albachiara|Ippolito|1966-06-22|56044|M
3372|Albavera|Isacco|1967-06-21|56057|M
594|Albera|Italo|1953-05-24|58091|M
833|Albergoni|Adriano|1973-08-25|58091|M
1628|Alberoni|Alberto|1967-12-03|56021|M
2484|Albertoni|Aldo|1956-03-01|58091|M
619|Alberzoni|Alessandro|1965-05-22|58091|M
605|Albiflora|Ivano|1936-12-21|58091|M
1192|Albignoni|Alessio|1947-05-05|56021|M
621|Albioni|Alfio|1974-07-19|58091|M
2327|Alboni|Alfonso|1972-07-30|58091|M
647|Albora|Lamberto|1973-01-27|94016|M
680|Albrigoni|Alfredo|1966-01-05|58091|M
2620|Bertaboni|Alvaro|1935-07-16|56016|M
3369|Bertamoni|Amedeo|1976-01-30|56059|M
3571|Bertazoni|Amerigo|1935-07-16|56016|M
2132|Bertazzoni|Anacleto|1961-02-03|58091|M
1064|Bertelloni|Angelo|1975-09-07|58091|M
2360|Bertera|Leandro|1963-08-13|58091|M
2884|Bertiboni|Anselmo|1949-03-25|56059|M
1858|Bertinara|Leonardo|1974-10-11|58074|M
2232|Bertoleoni|Antonello|1958-03-08|58091|M
4218|Bertoloni|Antonio|1979-02-24|56059|M
513|Bertoni|Antonio|1949-02-14|56059|M
2567|Bertora|Leopoldo|1961-04-29|58091|M
609|Calaciura|Lorenzo|1946-06-16|78052|M
2070|Calafiura|Luciano|1957-07-15|58003|M
1025|Calamara|Lucio|1985-07-10|55023|M
1959|Calamera|Ludovico|1959-04-28|94037|M
2570|Calandra|Luigino|1972-03-09|94037|M
617|Calandroni|Arcangelo|1956-08-31|58091|M
1811|Calantoni|Arduino|1951-03-04|60002|M
1874|Calatroni|Armando|1963-06-13|60087|M
2460|Calavera|Marcello|1951-01-08|94037|M
1326|Calcaterra|Marco|1978-07-12|58091|M
2178|Calchera|Marino|1955-04-14|58091|M
3134|Calcinoni|Arnaldo|1957-08-04|56057|M
3964|Calconi|Arrigo|1945-12-05|56057|M
2107|Calcopietra|Mario|1945-04-17|58091|M
1361|Caldara|Massimiliano|1966-09-25|60008|M
2787|Caldarera|Massimo|1976-08-23|57059|M
407|Caldariera|Matteo|1960-09-12|58091|M
92|Caldaroni|Arturo|1960-06-03|56035|M
2781|Caldeira|Maurizio|1976-01-26|60074|M
1425|Caldelara|Mauro|1973-11-28|60075|M
1687|Caldellara|Nando|1962-07-03|58032|M
3701|Caldera|Nicodemo|1976-03-01|58091|M
1477|Calderara|Paolino|1947-01-24|58091|M
1203|Calderoni|Attilio|1954-01-02|57059|M
964|Caldiera|Paolo|1956-05-24|60037|M
394|Caldironi|Augusto|1964-02-09|60006|M
2993|Caldoni|Aurelio|1959-07-26|58091|M
2829|Caldora|Patrizio|1968-04-11|58091|M
2453|Caledoni|Baldovino|1948-04-25|41059|M
2326|Calera|Piero|1970-08-11|58091|M
2021|Calfapietra|Pietro|1969-10-30|58091|M
294|Calidoni|Banco|1966-05-21|58091|M
3100|Caligara|Primo|1939-12-11|54007|M
3192|Calimera|Raffaello|1957-05-01|60014|M
2837|Calissoni|Bartolomeo|1960-01-25|58091|M
